File: lockd
Build ID: e4d61a645a1f2bc729cb1865a9a8fa7f759a8ceb
Type: cpu
Time: 2026-01-28 11:41:28 CET
Duration: 5.12s, Total samples = 6.46s (126.15%)
Showing nodes accounting for 4.37s, 67.65% of 6.46s total
Dropped 535 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 67.65%      0.23s  3.56%  golang.org/x/net/http2.(*Framer).ReadFrameHeader
         0     0% 67.65%      0.16s  2.48%  golang.org/x/net/http2.(*Framer).readMetaFrame
         0     0% 67.65%      0.48s  7.43%  golang.org/x/net/http2.(*Server).ServeConn (inline)
         0     0% 67.65%      0.48s  7.43%  golang.org/x/net/http2.(*Server).serveConn
         0     0% 67.65%      0.32s  4.95%  golang.org/x/net/http2.(*bufferedWriter).Flush
         0     0% 67.65%      0.32s  4.95%  golang.org/x/net/http2.(*bufferedWriterTimeoutWriter).Write
         0     0% 67.65%      0.04s  0.62%  golang.org/x/net/http2.(*dataBuffer).Write
         0     0% 67.65%      0.04s  0.62%  golang.org/x/net/http2.(*dataBuffer).lastChunkOrAlloc
         0     0% 67.65%      0.05s  0.77%  golang.org/x/net/http2.(*pipe).Write
         0     0% 67.65%      0.15s  2.32%  golang.org/x/net/http2.(*responseWriter).Flush (inline)
         0     0% 67.65%      0.15s  2.32%  golang.org/x/net/http2.(*responseWriter).FlushError
         0     0% 67.65%      0.15s  2.32%  golang.org/x/net/http2.(*responseWriter).handlerDone
         0     0% 67.65%      0.32s  4.95%  golang.org/x/net/http2.(*serverConn).Flush
         0     0% 67.65%      0.10s  1.55%  golang.org/x/net/http2.(*serverConn).newWriterAndRequest
         0     0% 67.65%      0.04s  0.62%  golang.org/x/net/http2.(*serverConn).newWriterAndRequestNoBody
         0     0% 67.65%      0.06s  0.93%  golang.org/x/net/http2.(*serverConn).processData
         0     0% 67.65%      0.24s  3.72%  golang.org/x/net/http2.(*serverConn).processFrame
         0     0% 67.65%      0.24s  3.72%  golang.org/x/net/http2.(*serverConn).processFrameFromReader
         0     0% 67.65%      0.45s  6.97%  golang.org/x/net/http2.(*serverConn).readFrames
         0     0% 67.65%      2.95s 45.67%  golang.org/x/net/http2.(*serverConn).runHandler
         0     0% 67.65%      0.16s  2.48%  golang.org/x/net/http2.(*serverConn).runHandler.func1
         0     0% 67.65%      0.09s  1.39%  golang.org/x/net/http2.(*serverConn).scheduleFrameWrite
         0     0% 67.65%      0.48s  7.43%  golang.org/x/net/http2.(*serverConn).serve
         0     0% 67.65%      0.44s  6.81%  golang.org/x/net/http2.(*serverConn).writeFrameAsync
         0     0% 67.65%      0.04s  0.62%  golang.org/x/net/http2.(*serverConn).writeFrameFromHandler
         0     0% 67.65%      0.11s  1.70%  golang.org/x/net/http2.(*writeResHeaders).writeFrame
         0     0% 67.65%      0.48s  7.43%  golang.org/x/net/http2.ConfigureServer.func2
         0     0% 67.65%      0.48s  7.43%  golang.org/x/net/http2.ConfigureServer.func3
         0     0% 67.65%      0.15s  2.32%  golang.org/x/net/http2.chunkWriter.Write
         0     0% 67.65%      0.06s  0.93%  golang.org/x/net/http2.encKV
         0     0% 67.65%      0.06s  0.93%  golang.org/x/net/http2.encodeHeaders
         0     0% 67.65%      0.32s  4.95%  golang.org/x/net/http2.flushFrameWriter.writeFrame
         0     0% 67.65%      0.04s  0.62%  golang.org/x/net/http2.getDataBufferChunk
         0     0% 67.65%      0.23s  3.56%  golang.org/x/net/http2.readFrameHeader
         0     0% 67.65%      0.32s  4.95%  golang.org/x/net/http2.writeWithByteTimeout
         0     0% 67.65%      0.12s  1.86%  golang.org/x/net/http2/hpack.(*Decoder).Write
         0     0% 67.65%      0.05s  0.77%  golang.org/x/net/http2/hpack.(*Decoder).callEmit
         0     0% 67.65%      0.05s  0.77%  golang.org/x/net/http2/hpack.(*Decoder).decodeString
         0     0% 67.65%      0.10s  1.55%  golang.org/x/net/http2/hpack.(*Decoder).parseFieldLiteral
         0     0% 67.65%      0.12s  1.86%  golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
