File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:57:42 CET
Duration: 5.11s, Total samples = 12.90s (252.29%)
Showing nodes accounting for 8.18s, 63.41% of 12.90s total
Dropped 735 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
         0     0% 63.41%      0.30s  2.33%  golang.org/x/net/http2.(*responseWriter).FlushError
         0     0% 63.41%      0.30s  2.33%  golang.org/x/net/http2.(*responseWriter).handlerDone
         0     0% 63.41%      0.81s  6.28%  golang.org/x/net/http2.(*serverConn).Flush
         0     0% 63.41%      0.11s  0.85%  golang.org/x/net/http2.(*serverConn).closeStream
         0     0% 63.41%      0.13s  1.01%  golang.org/x/net/http2.(*serverConn).newWriterAndRequest
         0     0% 63.41%      0.31s  2.40%  golang.org/x/net/http2.(*serverConn).processFrameFromReader
         0     0% 63.41%      0.20s  1.55%  golang.org/x/net/http2.(*serverConn).processHeaders
         0     0% 63.41%      6.32s 48.99%  golang.org/x/net/http2.(*serverConn).runHandler
         0     0% 63.41%      0.30s  2.33%  golang.org/x/net/http2.(*serverConn).runHandler.func1
         0     0% 63.41%      0.19s  1.47%  golang.org/x/net/http2.(*serverConn).scheduleFrameWrite
         0     0% 63.41%      0.18s  1.40%  golang.org/x/net/http2.(*serverConn).startFrameWrite
         0     0% 63.41%      0.09s   0.7%  golang.org/x/net/http2.(*serverConn).writeFrame
         0     0% 63.41%      0.97s  7.52%  golang.org/x/net/http2.(*serverConn).writeFrameAsync
         0     0% 63.41%      0.16s  1.24%  golang.org/x/net/http2.(*serverConn).wroteFrame
         0     0% 63.41%      0.90s  6.98%  golang.org/x/net/http2.ConfigureServer.func2
         0     0% 63.41%      0.90s  6.98%  golang.org/x/net/http2.ConfigureServer.func3
         0     0% 63.41%      0.29s  2.25%  golang.org/x/net/http2.chunkWriter.Write
         0     0% 63.41%      0.81s  6.28%  golang.org/x/net/http2.flushFrameWriter.writeFrame
         0     0% 63.41%      0.42s  3.26%  golang.org/x/net/http2.readFrameHeader
         0     0% 63.41%      0.79s  6.12%  golang.org/x/net/http2.writeWithByteTimeout
         0     0% 63.41%      0.09s   0.7%  golang.org/x/net/http2/hpack.(*Decoder).Write
         0     0% 63.41%      0.09s   0.7%  golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
         0     0% 63.41%      0.07s  0.54%  google.golang.org/protobuf/internal/impl.(*MessageInfo).marshal
         0     0% 63.41%      0.14s  1.09%  google.golang.org/protobuf/proto.Marshal
         0     0% 63.41%      0.07s  0.54%  internal/poll.(*FD).Close
         0     0% 63.41%      0.21s  1.63%  internal/poll.(*FD).Pread
         0     0% 63.41%      0.21s  1.63%  internal/poll.(*FD).Pread.func1 (inline)
