File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 09:39:00 CET
Duration: 5.11s, Total samples = 12.60s (246.47%)
Showing nodes accounting for 8.39s, 66.59% of 12.60s total
Dropped 770 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
     0.01s 0.079% 65.48%      0.15s  1.19%  runtime.(*mcentral).cacheSpan
     0.01s 0.079% 65.56%      0.10s  0.79%  runtime.(*mcentral).uncacheSpan
     0.01s 0.079% 65.63%      0.12s  0.95%  runtime.(*mheap).alloc.func1
     0.01s 0.079% 65.71%      0.14s  1.11%  runtime.(*unwinder).resolveInternal
     0.01s 0.079% 65.79%      0.07s  0.56%  runtime.gdestroy
     0.01s 0.079% 65.87%      0.07s  0.56%  runtime.heapSetTypeNoHeader (inline)
     0.01s 0.079% 65.95%      0.18s  1.43%  runtime.netpoll
     0.01s 0.079% 66.03%      0.25s  1.98%  runtime.notesleep
     0.01s 0.079% 66.11%      0.35s  2.78%  runtime.runqsteal
     0.01s 0.079% 66.19%      1.47s 11.67%  runtime.schedule
     0.01s 0.079% 66.27%      0.11s  0.87%  runtime.send
     0.01s 0.079% 66.35%      1.79s 14.21%  runtime.systemstack
     0.01s 0.079% 66.43%      0.11s  0.87%  sync.(*Mutex).Unlock
     0.01s 0.079% 66.51%      0.55s  4.37%  syscall.Write (inline)
     0.01s 0.079% 66.59%      0.35s  2.78%  syscall.pwrite
         0     0% 66.59%      0.47s  3.73%  bytes.(*Buffer).ReadFrom
         0     0% 66.59%      0.08s  0.63%  crypto/internal/fips140/aes/gcm.(*GCM).Open
         0     0% 66.59%      0.08s  0.63%  crypto/tls.(*Conn).Handshake (inline)
         0     0% 66.59%      0.14s  1.11%  crypto/tls.(*Conn).HandshakeContext (inline)
         0     0% 66.59%      0.41s  3.25%  crypto/tls.(*Conn).Read
         0     0% 66.59%      0.69s  5.48%  crypto/tls.(*Conn).Write
         0     0% 66.59%      0.14s  1.11%  crypto/tls.(*Conn).handshakeContext
         0     0% 66.59%      0.35s  2.78%  crypto/tls.(*Conn).readFromUntil
         0     0% 66.59%      0.40s  3.17%  crypto/tls.(*Conn).readRecord (inline)
         0     0% 66.59%      0.40s  3.17%  crypto/tls.(*Conn).readRecordOrCCS
