File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:24:15 CET
Duration: 5.12s, Total samples = 6.24s (121.92%)
Showing nodes accounting for 4.12s, 66.03% of 6.24s total
Dropped 547 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 66.03%      0.05s   0.8%  os.open
         0     0% 66.03%      0.06s  0.96%  os.openFileNolog
         0     0% 66.03%      0.05s   0.8%  os.openFileNolog.func1 (inline)
         0     0% 66.03%      0.07s  1.12%  pkt.systems/kryptograf.(*service).ReconstructDEK
         0     0% 66.03%      0.07s  1.12%  pkt.systems/kryptograf/keymgmt.ReconstructMaterial
         0     0% 66.03%      0.08s  1.28%  pkt.systems/kryptograf/keymgmt.deriveDEK
         0     0% 66.03%      0.04s  0.64%  pkt.systems/kryptograf/stream.(*writer).Close
         0     0% 66.03%      0.04s  0.64%  pkt.systems/kryptograf/stream.(*writer).emitChunk
         0     0% 66.03%      0.33s  5.29%  pkt.systems/lockd/internal/core.(*Service).Acquire
         0     0% 66.03%      0.04s  0.64%  pkt.systems/lockd/internal/core.(*Service).Acquire.func1
         0     0% 66.03%      1.11s 17.79%  pkt.systems/lockd/internal/core.(*Service).Release
         0     0% 66.03%      0.50s  8.01%  pkt.systems/lockd/internal/core.(*Service).Update
         0     0% 66.03%      0.62s  9.94%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta
         0     0% 66.03%      0.23s  3.69%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta.func1.1
         0     0% 66.03%      0.17s  2.72%  pkt.systems/lockd/internal/core.(*Service).maybeThrottleLock
         0     0% 66.03%      0.15s  2.40%  pkt.systems/lockd/internal/core.(*Service).updateLeaseIndex
         0     0% 66.03%      0.31s  4.97%  pkt.systems/lockd/internal/core.(*writePlan).Wait
         0     0% 66.03%      0.10s  1.60%  pkt.systems/lockd/internal/core.buildDocumentFromJSON
         0     0% 66.03%      0.04s  0.64%  pkt.systems/lockd/internal/core.recursiveIndex
         0     0% 66.03%      1.17s 18.75%  pkt.systems/lockd/internal/httpapi.(*Handler).handleRelease
         0     0% 66.03%      0.61s  9.78%  pkt.systems/lockd/internal/httpapi.(*Handler).handleUpdate
         0     0% 66.03%      0.09s  1.44%  pkt.systems/lockd/internal/httpapi.(*Handler).writeJSON
         0     0% 66.03%      0.04s  0.64%  pkt.systems/lockd/internal/httpapi.applyCorrelation
         0     0% 66.03%      0.11s  1.76%  pkt.systems/lockd/internal/httpapi.clientIdentityFromRequest
         0     0% 66.03%      0.04s  0.64%  pkt.systems/lockd/internal/jsonutil.CompactWriter
         0     0% 66.03%      0.17s  2.72%  pkt.systems/lockd/internal/qrf.(*Controller).Wait
         0     0% 66.03%      0.15s  2.40%  pkt.systems/lockd/internal/qrf.(*Controller).recordDecision (inline)
         0     0% 66.03%      0.15s  2.40%  pkt.systems/lockd/internal/qrf.(*qrfMetrics).recordDecision
         0     0% 66.03%      0.05s   0.8%  pkt.systems/lockd/internal/search/index.(*Manager).Insert
         0     0% 66.03%      0.32s  5.13%  pkt.systems/lockd/internal/storage.(*CommitGroup).Wait
         0     0% 66.03%      0.05s   0.8%  pkt.systems/lockd/internal/storage.(*Crypto).EncryptMetadata
         0     0% 66.03%      0.07s  1.12%  pkt.systems/lockd/internal/storage.(*Crypto).MaterialFromDescriptor
         0     0% 66.03%      0.04s  0.64%  pkt.systems/lockd/internal/storage.(*Crypto).MintMaterial
         0     0% 66.03%      0.43s  6.89%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).PromoteStagedState
         0     0% 66.03%      0.20s  3.21%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).StageState
         0     0% 66.03%      0.15s  2.40%  pkt.systems/lockd/internal/storage.MarshalMetaRecord
         0     0% 66.03%      0.04s  0.64%  pkt.systems/lockd/internal/storage/disk.(*Store).DeleteObject
         0     0% 66.03%      0.09s  1.44%  pkt.systems/lockd/internal/storage/disk.(*Store).PutObject
         0     0% 66.03%      0.21s  3.37%  pkt.systems/lockd/internal/storage/disk.(*Store).ReadState
         0     0% 66.03%      0.23s  3.69%  pkt.systems/lockd/internal/storage/disk.(*Store).loggers
         0     0% 66.03%      0.08s  1.28%  pkt.systems/lockd/internal/storage/disk.(*fsyncBatcher).batchLoop
         0     0% 66.03%      0.07s  1.12%  pkt.systems/lockd/internal/storage/disk.(*fsyncBatcher).processBatch
         0     0% 66.03%      0.11s  1.76%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendInline
         0     0% 66.03%      0.36s  5.77%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendLoop
         0     0% 66.03%      0.05s   0.8%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).commitPendingNoSync
         0     0% 66.03%      0.35s  5.61%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends
         0     0% 66.03%      0.05s   0.8%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends.func2
         0     0% 66.03%      0.06s  0.96%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).loadManifestLocked
         0     0% 66.03%      0.05s   0.8%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).openPayloadReader
         0     0% 66.03%      0.14s  2.24%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshForce (inline)
         0     0% 66.03%      0.14s  2.24%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshWithMode
         0     0% 66.03%      0.05s   0.8%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).resolvePayloadSpan
         0     0% 66.03%      0.05s   0.8%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).scanSegmentsLocked
         0     0% 66.03%      0.06s  0.96%  pkt.systems/lockd/internal/storage/disk.(*manifestState).readNewSegments
         0     0% 66.03%      0.06s  0.96%  pkt.systems/lockd/internal/storage/disk.syncFile
         0     0% 66.03%      0.04s  0.64%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject
         0     0% 66.03%      0.04s  0.64%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject.func1
         0     0% 66.03%      0.10s  1.60%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject
         0     0% 66.03%      0.22s  3.53%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState
         0     0% 66.03%      0.21s  3.37%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState.func1
         0     0% 66.03%      0.35s  5.61%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta
         0     0% 66.03%      0.35s  5.61%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta.func1
         0     0% 66.03%      0.49s  7.85%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState
         0     0% 66.03%      0.49s  7.85%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState.func1
         0     0% 66.03%      1.25s 20.03%  pkt.systems/lockd/internal/storage/retry.(*backend).withRetry
         0     0% 66.03%      0.05s   0.8%  pkt.systems/lockd/internal/uuidv7.NewString
         0     0% 66.03%      0.35s  5.61%  pkt.systems/pslog.(*jsonPlainLogger).With
         0     0% 66.03%      0.22s  3.53%  pkt.systems/pslog.(*jsonPlainLogger).rebuildBasePayload
         0     0% 66.03%      0.19s  3.04%  pkt.systems/pslog.appendJSONValuePlain
         0     0% 66.03%      0.06s  0.96%  pkt.systems/pslog.cloneFields (inline)
         0     0% 66.03%      0.06s  0.96%  pkt.systems/pslog.loggerBase.clone (inline)
         0     0% 66.03%      0.07s  1.12%  runtime.(*mcentral).cacheSpan
         0     0% 66.03%      0.06s  0.96%  runtime.(*mcentral).grow
         0     0% 66.03%      0.06s  0.96%  runtime.(*mcentral).uncacheSpan
         0     0% 66.03%      0.05s   0.8%  runtime.(*mheap).alloc.func1
         0     0% 66.03%      0.05s   0.8%  runtime.(*mheap).allocSpan
         0     0% 66.03%      0.16s  2.56%  runtime.(*mspan).markBitsForIndex (inline)
         0     0% 66.03%      0.04s  0.64%  runtime.(*sweepLocked).sweep
         0     0% 66.03%      0.04s  0.64%  runtime.(*timers).check
         0     0% 66.03%      0.10s  1.60%  runtime.(*unwinder).next
         0     0% 66.03%      0.09s  1.44%  runtime.adjustframe
         0     0% 66.03%      0.04s  0.64%  runtime.bgsweep
         0     0% 66.03%      0.12s  1.92%  runtime.chansend1
         0     0% 66.03%      0.04s  0.64%  runtime.funcspdelta (inline)
         0     0% 66.03%      0.74s 11.86%  runtime.gcBgMarkWorker
         0     0% 66.03%      0.73s 11.70%  runtime.gcBgMarkWorker.func2
